Código EAN,Produto,Categoria 1,Categoria 2
18265,"ABA DO FILE kg <<< INATIVO >>>","FRIGORIFICO","BOVINOS"
102,"ABACATE  kg","HORTI-FRUTI","FRUTAS"
90014,"ABACATE KG - FRUTAS CORTADAS  kg <<< INATIVO >>>","HORTI-FRUTI","PROCESSADOS FLV"
103,"ABACAXI","HORTI-FRUTI","FRUTAS"
90022,"ABACAXI - PROCESSADOS kg","HORTI-FRUTI","PROCESSADOS FLV"
174,"ABACAXI GRANDE","HORTI-FRUTI","FRUTAS"
220,"ABOBORA CABOCLO  kg","HORTI-FRUTI","LEGUMES E VERDURAS"
219,"ABOBORA JACARE  kg","HORTI-FRUTI","LEGUMES E VERDURAS"
200,"ABOBORA LEITE  kg","HORTI-FRUTI","LEGUMES E VERDURAS"
202,"ABOBORA MENINA kg","HORTI-FRUTI","LEGUMES E VERDURAS"
246,"ABOBORA MORANGA  kg","HORTI-FRUTI","LEGUMES E VERDURAS"
201,"ABOBRINHA  kg","HORTI-FRUTI","LEGUMES E VERDURAS"
7301419149889,"ABRACADEIRA METAL 3/4 SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419141203,"ABRACADEIRA NYLON 10CM C/25 UND SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419141210,"ABRACADEIRA NYLON 16CM C/25 UND SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419141326,"ABRACADEIRA NYLON 20CM C/25 UND SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419149155,"ABRACADEIRA NYLON 30CM C/25 UND SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419149193,"ABRACADEIRA NYLON 40CM C/25 UND SOLLUMIX","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
21683,"ABRACADEIRA PVC P/ ELETRODUTO 3/4" BC","BAZAR","MATERIAL DE CONTRUCAO / DEPOSI"
7301419145089,"ABRIDOR DE GARRAFA E LATA INOX SOLLUMIX","BAZAR","PRODUTOS DO LAR"
7301419142866,"ABRIDOR DE GARRAFA E LATA SOLLUMIX","BAZAR","PRODUTOS DO LAR"
7301419149407,"ABRIDOR DE GARRAFA SOLLUMIX","BAZAR","PRODUTOS DO LAR"
7899653780970,"ABRIDOR DE GARRAFAS BOTECO C/CART SL0275","BAZAR","PRODUTOS DO LAR"
7899653780956,"ABRIDOR DE LATAS / GARRAFAS SARDINHA CX120","BAZAR","PRODUTOS DO LAR"
7500435190633,"ABS ALWAYS BA.C.SU.C/AB.8X1 OF","PERFUMARIA","HIGIENE PESSOAL"
7500435127264,"ABS ALWAYS BAS 8UND SEC S/ABA","PERFUMARIA","HIGIENE PESSOAL"
7500435127240,"ABS ALWAYS BAS SV ABA 18X8UND","PERFUMARIA","HIGIENE PESSOAL"
7506339394535,"ABS ALWAYS NOT SEC ABA L8P7UND","PERFUMARIA","HIGIENE PESSOAL"
7506339394603,"ABS ALWAYS NOT SV ABA L8P7UND","PERFUMARIA","HIGIENE PESSOAL"
7506339325249,"ABS ALWAYS NOT TRANQ 16UND SEC C/ABA LMPM","PERFUMARIA","HIGIENE PESSOAL"
7506339326031,"ABS ALWAYS PINK NOT 16UND SV C/ABA LMPM","PERFUMARIA","HIGIENE PESSOAL"
7500435233446,"ABS ALWAYS PINK NOT L10P8 SV G C/ABA","PERFUMARIA","HIGIENE PESSOAL"
7500435127233,"ABS ALWAYS SECO 1X16 C/ ABAS","PERFUMARIA","HIGIENE PESSOAL"
7500435127257,"ABS ALWAYS SUAVE 1X16 C/ ABAS","PERFUMARIA","HIGIENE PESSOAL"
7500435127226,"ABS ALWAYS SUPER PROTECAO 1X8UN C/ ABA","PERFUMARIA","HIGIENE PESSOAL"
